Tree	P0	Like	Normalized
230	8.713213	6082.7550162405	1.5401216123378E-13
128	6.168582	477.5085187138	1.20902648188697E-14
170	5.67093	290.304391973	7.3503546837007E-15
133	5.065082	158.3934298024	4.01043842534683E-15
167	4.573762	96.9079927485	2.45365946255929E-15
153	2.569042	13.0533133749	3.30503036660064E-16
262	2.386796	10.8785830655	2.75440007794436E-16
156	2.146863	8.5579698931	2.16683301478356E-16
278	-0.167953	0.8453935672	2.14049209671383E-17
59	-0.308125	0.7348234593	1.86053439264609E-17
281	-0.349764	0.7048544157	1.78465434876905E-17
264	-0.590132	0.5542541184	1.40334230811116E-17
235	-0.77237	0.4619170267	1.16954964316189E-17
216	-0.833813	0.4343897962	1.09985214192119E-17
222	-1.012738	0.363223112	9.1966183637602E-18
213	-1.074181	0.3415773927	8.64856012308093E-18
296	-1.248823	0.2868422115	7.26269409399811E-18
229	-1.415205	0.2428758188	6.14948812918925E-18
287	-1.489191	0.2255550558	5.71093550972854E-18
203	-1.49295	0.2247087859	5.68950840062958E-18
130	-1.575844	0.206832912	5.23690066568866E-18
240	-1.716494	0.1796950557	4.54978440047139E-18
172	-2.304592	0.0997995105	2.52687117410061E-18
239	-2.654516	0.0703328715	1.78079135564248E-18
134	-2.83156	0.0589208654	1.49184535557079E-18
207	-2.988304	0.0503727966	1.27541274440808E-18
166	-3.560308	0.0284300669	7.19834357353043E-19
236	-8.747892	0.0001587957	4.02062404762423E-21
217	-8.967883	0.0001274377	3.22665541752651E-21
220	-8.98826	0.0001248672	3.16157122242297E-21
279	-9.006615	0.0001225961	3.10406991525097E-21
231	-9.159631	0.0001052017	2.66365203408394E-21
282	-9.188426	0.0001022156	2.5880459365585E-21
215	-9.208251	0.0001002092	2.53724317217744E-21
201	-9.389592	8.35895538189365E-05	2.11644358614637E-21
263	-9.428794	8.03760750554863E-05	2.03507999216364E-21
155	-9.810846	5.48534211693707E-05	1.38885980494132E-21
143	-10.424839	2.96858813679069E-05	7.51630919771404E-22
159	-10.558127	2.59814691253696E-05	6.57837148026399E-22
154	-10.565195	2.57984795485505E-05	6.53203948080993E-22
149	-10.847019	1.94625393299407E-05	4.92781270542478E-22
157	-10.987374	1.69139133431062E-05	4.28251399561161E-22
142	-11.17212	1.40607968250179E-05	3.56011988302716E-22
146	-11.191979	1.3784317845318E-05	3.49011685794131E-22
205	-11.200151	1.36721314179599E-05	3.46171184394289E-22
150	-11.5943	9.21848362275899E-06	2.33407162091631E-22
147	-11.614158	9.03722861228234E-06	2.28817880454703E-22
53	-12.072663	5.71359005895159E-06	1.446650984683E-22
55	-12.313031	4.49281546673761E-06	1.13755727167931E-22
57	-12.737295	2.93942962657891E-06	7.44248138179703E-23
126	-13.724386	1.09540543823282E-06	2.77350901884167E-23
120	-14.074874	7.71542561081909E-07	1.95350522910774E-23
160	-14.256172	6.43610569175401E-07	1.62958814693267E-23
105	-14.870679	3.48133782004224E-07	8.81456445669891E-24
168	-15.030924	2.96587367257182E-07	7.50943631692528E-24
117	-15.111047	2.73750973406279E-07	6.93123082247858E-24
174	-15.644918	1.60508650280501E-07	4.06399469655046E-24
113	-15.875251	1.27487055881465E-07	3.22790527535853E-24
173	-16.067097	1.05232147365672E-07	2.66442268409418E-24
114	-16.11562	1.00247871791253E-07	2.53822344520467E-24
127	-16.198987	9.22293894116401E-08	2.33519968412896E-24
163	-16.649491	5.87784233038192E-08	1.48823879685529E-24
171	-16.730773	5.4189807483235E-08	1.37205745505986E-24
164	-17.07167	3.85361143603158E-08	9.75714169375275E-25
122	-17.183701	3.44519237240277E-08	8.72304608229695E-25
165	-17.715487	2.0242388309648E-08	5.12526636989099E-25
224	-21.835237	3.28909986454668E-10	8.32782805324379E-27
219	-22.399466	1.87083513969898E-10	4.73685628317849E-27
226	-22.449231	1.78001168687127E-10	4.50689607233054E-27
218	-22.581277	1.55982545930423E-10	3.94939611234578E-27
228	-22.631042	1.48410059663922E-10	3.75766473853519E-27
209	-22.754512	1.31171957609001E-10	3.32120505111419E-27
211	-22.821645	1.22655071096562E-10	3.10556195924851E-27
227	-22.87141	1.16700534094648E-10	2.95479621077388E-27
208	-22.99488	1.03145551897734E-10	2.61159118310825E-27
200	-23.325083	7.41387335666066E-11	1.87715378265977E-27
60	-32.316519	9.22813892488695E-15	2.33651629268777E-31
148	-42.920826	2.2894022719665E-19	5.79664627126499E-36
158	-43.041322	2.02951077584162E-19	5.13861465733995E-36
145	-43.344733	1.49837886482617E-19	3.7938165634283E-36
54	-44.028363	7.56353640972378E-20	1.91504768139078E-36
112	-44.710253	3.82458077467975E-20	9.68363758443214E-37
161	-45.666303	1.47020060854982E-20	3.72247069897488E-37
101	-47.019853	3.7978455783009E-21	9.61594547182327E-38
175	-47.929942	1.52858879394833E-21	3.87030651678662E-38
109	-48.055578	1.34811720073344E-21	3.41336192444122E-38
162	-48.955697	5.48038331150695E-22	1.38760426145914E-38
210	-54.374645	2.42879981453179E-24	6.1495935253273E-41
187	-71.569466	8.27514940271957E-32	2.09522435252205E-48
138	-72.796532	2.42587182637377E-32	6.14218001314277E-49
190	-75.888496	1.10165331913923E-33	2.78932832504351E-50
135	-76.856652	4.18388885366247E-34	1.05933867629728E-50
100	-79.849347	2.09830789321743E-35	5.31280534405038E-52
193	-79.919478	1.95619303382251E-35	4.95297798653873E-52
186	-80.078026	1.66937992451246E-35	4.22678226244522E-52
39	-80.142459	1.56520883313326E-35	3.96302653204745E-52
192	-80.584637	1.00585834818645E-35	2.54678049149812E-52
139	-80.9281	7.13465108460518E-36	1.80645617036229E-52
136	-81.080316	6.12725803816961E-36	1.55138954367885E-52
140	-81.790222	3.01271404262239E-36	7.62803367297885E-53
182	-83.495104	5.47692844334254E-37	1.38672950699122E-53
195	-83.495104	5.47692844334254E-37	1.38672950699122E-53
189	-83.524928	5.31599627842221E-37	1.34598232834398E-53
98	-84.287489	2.47975419607713E-37	6.27860734234238E-54
108	-84.417769	2.17685122569766E-37	5.51167293535542E-54
115	-84.417769	2.17685122569766E-37	5.51167293535542E-54
40	-84.528696	1.94829073256289E-37	4.93296977492302E-54
123	-84.690046	1.65798405685906E-37	4.19792852426658E-54
94	-86.345789	3.16592266289362E-38	8.01594985018176E-55
96	-86.345789	3.16592266289362E-38	8.01594985018176E-55
44	-86.488069	2.74605279627872E-38	6.95286140717116E-55
48	-86.488069	2.74605279627872E-38	6.95286140717116E-55
81	-86.588242	2.48430150063719E-38	6.29012087858069E-55
32	-86.730522	2.1548293527767E-38	5.45591471011182E-55
199	-92.969229	4.20704210448719E-41	1.0652009577628E-57
184	-93.391408	2.75820694983916E-41	6.98363508542735E-58
107	-93.891893	1.67212590315218E-41	4.23373493609189E-58
118	-94.132261	1.31485686626128E-41	3.32914850499989E-58
185	-94.233205	1.18860911517711E-41	3.00949583209979E-58
179	-94.345659	1.06218681154082E-41	2.68940120130843E-58
191	-94.595668	8.27224475542323E-42	2.09448891108714E-58
124	-95.432457	3.58270071529149E-42	9.07120998203357E-59
131	-95.551243	3.18143039609277E-42	8.05521461589172E-59
137	-95.563824	3.14165554859177E-42	7.95450679172294E-59
95	-96.017893	1.99507352789408E-42	5.05142135481202E-59
50	-96.252768	1.57744414221353E-42	3.99400569181607E-59
93	-96.258262	1.5688014273732E-42	3.9721227919141E-59
43	-96.493136	1.24040495851605E-42	3.14064018616728E-59
84	-96.71666	9.91946510269765E-43	2.51155644879769E-59
33	-96.957867	7.79351516458369E-43	1.97327709385152E-59
99	-97.786049	3.40454055737964E-43	8.62011782243654E-60
41	-98.242258	2.15739397176848E-43	5.4624081906582E-60
198	-101.807891	6.10091149076487E-45	1.54471873629631E-61
188	-102.208727	4.08614582514558E-45	1.03459065500227E-61
194	-102.23007	3.9998592969234E-45	1.01274335939136E-61
180	-102.479729	3.11615598065448E-45	7.88994322541024E-62
116	-102.730555	2.42486095531726E-45	6.13962054073718E-62
119	-102.970923	1.90676136935462E-45	4.82781960916275E-62
125	-103.176883	1.55184754361958E-45	3.92919644897855E-62
132	-103.447885	1.18346216974327E-45	2.99646403667319E-62
97	-103.993415	6.85857214349912E-46	1.73655443294667E-62
92	-104.233783	5.39315888751436E-46	1.36551949556671E-62
